Subject,Overall Frequency,bau,arc,tec,mas,fer,phy,mat,geo,his,sow,elt,inf,oek,ver,rel,jur,pae,hor,meda,rest,cet,che,lin,phi,lit,bio,spo,ber,med
Computersicherheit,548,0,0,1,0,0,0,20,0,0,14,27,401,46,5,0,18,9,0,4,3,0,0,0,0,0,0,0,0,0
Migration,548,0,6,0,0,0,0,0,88,57,205,0,0,67,1,15,14,49,1,6,6,0,0,11,4,15,0,3,0,0
Finite-Elemente-Methode,536,14,2,110,18,21,110,167,10,0,0,16,22,2,8,0,0,1,0,11,4,8,1,0,0,0,0,2,1,8
Hochschule,524,1,10,11,1,0,1,1,4,8,75,3,10,57,0,0,20,280,0,2,23,5,2,2,4,2,0,2,0,0
Sozialer Wandel,519,0,18,10,0,0,0,2,16,72,228,1,25,30,2,14,12,56,0,2,10,2,0,1,13,3,0,2,0,0
Strömungsmechanik,516,3,0,184,4,1,225,61,10,0,0,1,5,0,2,0,0,0,0,1,0,13,2,0,0,0,0,0,3,1
Prävention,515,3,11,5,1,1,1,0,10,5,145,0,5,38,0,7,57,147,2,55,9,4,1,0,0,1,0,7,0,0
Personalpolitik,503,1,1,14,0,0,0,1,4,2,166,2,6,208,1,0,7,72,0,15,1,0,0,0,0,0,1,1,0,0
Big Data,498,5,12,5,0,0,3,46,10,3,31,0,266,47,4,0,18,6,1,17,11,1,0,1,4,0,3,0,0,4
Theorie,496,0,15,8,1,0,5,45,4,13,140,2,3,79,0,11,14,63,0,3,25,0,1,11,34,16,1,1,0,1
Kunst,494,1,73,6,1,0,2,7,7,61,48,0,10,5,0,11,3,82,2,2,90,0,1,14,27,36,4,1,0,0
Marketing,492,1,2,4,0,0,0,7,0,0,30,2,24,364,3,0,5,25,0,7,8,0,0,0,0,0,0,10,0,0
Klein- und Mittelbetrieb,491,2,2,24,2,0,0,3,3,3,44,0,25,280,0,0,7,87,1,4,0,2,0,0,0,2,0,0,0,0
Entwicklung,489,1,6,3,1,2,1,5,14,42,164,1,12,91,1,8,9,71,3,13,9,5,1,3,13,4,4,2,0,0
Städtebau,489,18,314,0,0,0,0,0,58,43,31,1,1,3,6,1,2,4,1,0,2,2,0,0,0,1,0,1,0,0
Wirtschaftswissenschaften,485,0,0,2,0,0,0,110,0,3,19,0,41,292,0,0,4,5,0,0,1,0,0,0,8,0,0,0,0,0
Mathematikunterricht,483,0,0,0,0,0,2,220,0,0,12,0,3,1,0,0,0,224,0,0,12,0,0,6,0,0,1,2,0,0
Erneuerbare Energien,481,16,31,9,173,0,5,1,18,0,8,37,1,96,8,0,21,2,8,0,9,23,13,0,0,0,2,0,0,0
Alltag,480,2,10,7,0,0,6,5,26,100,146,0,20,16,5,14,4,47,2,7,7,4,6,5,11,26,2,2,0,0
Data Mining,478,2,1,3,0,0,1,54,3,0,5,1,329,40,2,0,6,4,0,8,10,0,0,1,1,1,5,0,1,0
Führungskraft,472,0,0,4,0,1,0,1,0,3,117,0,11,201,0,0,3,119,0,3,1,0,0,3,1,3,0,1,0,0
Psychologie,462,0,10,4,0,0,1,6,4,8,96,0,2,35,0,11,2,213,0,9,29,0,0,8,6,13,0,5,0,0
Sozialarbeit,460,0,4,1,0,0,0,2,2,1,106,0,0,12,0,1,12,303,1,7,3,1,0,0,3,0,0,1,0,0
Geschichte,457,8,14,7,2,0,2,15,15,156,73,1,6,12,8,18,9,28,3,1,21,4,1,17,12,21,2,1,0,0
Electronic Commerce,451,1,4,1,0,0,0,5,1,2,19,5,134,219,1,0,24,26,2,0,5,0,0,1,0,0,0,1,0,0
Kollektives Gedächtnis,448,3,19,4,0,0,0,0,4,220,107,0,0,1,0,9,3,19,0,1,13,0,0,10,11,22,0,2,0,0
Außenpolitik,440,0,0,3,0,0,0,0,4,205,204,0,0,12,0,5,4,0,0,0,0,0,0,0,1,2,0,0,0,0
Sozialwissenschaften,438,0,2,7,0,0,1,54,4,6,230,0,13,37,1,3,10,38,0,0,8,0,0,4,18,2,0,0,0,0
Numerisches Verfahren,433,4,0,36,8,2,88,208,6,0,0,16,29,9,5,0,1,1,0,3,3,7,4,0,0,0,3,0,0,0
Softwareentwicklung,431,0,0,6,2,0,0,14,1,1,0,4,352,31,1,0,2,9,0,2,0,0,0,1,0,0,4,0,0,1
Modellierung,431,27,9,23,13,6,31,40,62,0,12,17,64,32,5,0,1,9,9,16,2,20,7,1,2,2,11,0,3,7
Optimierung,430,1,0,29,2,0,8,188,3,0,2,16,80,76,9,0,0,0,0,1,1,7,2,0,0,0,4,0,0,1
Bildverarbeitung,426,0,0,10,5,0,12,41,20,0,0,26,241,2,1,0,0,1,3,32,4,3,3,0,0,0,7,0,1,14
Soziale Ungleichheit,420,0,5,1,0,0,0,1,12,20,236,0,1,43,0,3,4,78,0,7,1,1,0,0,7,0,0,0,0,0
Umweltschutz,417,2,13,3,2,0,0,3,35,5,42,0,4,88,2,5,23,30,11,3,34,74,3,0,6,2,20,4,3,0
Arbeitswelt,415,2,6,34,0,0,1,0,2,5,96,0,14,119,1,0,14,102,0,7,2,0,0,0,6,4,0,0,0,0
R Programm,410,0,1,0,0,0,0,171,9,0,17,0,140,38,0,0,0,7,1,6,0,4,2,2,0,2,10,0,0,0
Wissensmanagement,407,0,4,26,2,0,0,7,5,0,37,0,103,151,3,0,1,56,1,3,5,1,0,0,1,0,0,1,0,0
Grundschule,407,0,1,3,0,0,1,42,0,4,42,0,1,0,0,11,1,233,0,0,4,0,0,36,5,13,5,5,0,0
Forschung,403,3,14,9,0,0,12,4,6,19,85,1,9,31,3,7,20,83,3,16,27,0,2,9,17,10,12,1,0,0
Personalentwicklung,400,0,0,9,0,0,0,2,2,0,137,0,7,161,0,0,0,73,0,4,0,0,0,0,1,0,0,4,0,0
Christentum,399,0,1,0,1,0,0,0,0,47,51,0,1,3,0,240,5,16,0,1,5,0,0,1,19,4,4,0,0,0
Nanostrukturiertes Material,399,0,1,60,16,74,75,2,1,0,0,30,0,0,1,0,2,0,8,19,0,38,49,0,0,0,5,0,0,18
Prozessmanagement,391,12,11,15,2,0,0,13,0,0,12,5,88,171,3,0,1,48,0,6,3,1,0,0,0,0,0,0,0,0
Controlling,390,1,1,9,2,0,0,4,0,0,11,1,38,262,0,0,0,43,1,10,2,2,0,1,0,0,2,0,0,0
Organisation,390,2,3,2,1,0,0,3,0,4,108,0,13,139,0,0,13,84,0,2,5,1,0,2,4,1,1,2,0,0
Informatik,390,1,1,5,1,0,2,30,7,0,7,9,287,15,0,0,0,9,0,0,4,0,2,1,5,0,3,0,0,1
Social Media,390,0,1,4,0,0,0,1,1,6,108,0,67,54,0,2,22,49,0,2,43,0,0,15,2,13,0,0,0,0
Pädagogik,388,3,8,0,0,0,0,1,0,4,70,1,2,3,0,4,2,251,1,2,6,0,0,8,14,7,0,1,0,0
Risikomanagement,388,13,11,9,1,0,0,10,8,2,20,0,31,186,2,0,12,60,2,7,3,10,0,0,0,0,0,0,0,1
Film,386,0,4,3,0,0,1,0,2,42,49,3,1,2,1,7,2,12,0,3,160,0,0,26,1,67,0,0,0,0
Gesundheitswesen,384,0,1,0,0,0,0,28,4,12,36,1,11,51,0,1,16,18,0,176,5,1,0,1,2,1,1,2,0,16
Kryptologie,382,0,0,0,0,0,0,66,1,3,0,51,249,7,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Thermodynamik,382,2,2,76,17,3,199,9,5,0,0,3,1,2,7,0,0,2,0,2,0,8,38,0,0,0,4,0,1,1
Mensch-Maschine-Kommunikation,379,1,1,27,2,0,1,5,2,0,16,4,260,17,5,0,2,15,0,3,4,1,0,4,5,1,0,0,0,3
Programmierung,375,0,0,13,1,0,8,26,2,0,2,20,290,6,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,0
Lebensmittel,375,0,1,0,12,1,2,0,0,3,12,0,1,12,1,1,11,32,104,23,4,121,24,0,0,0,10,0,0,0
Kapitalismus,372,0,3,6,1,0,0,0,5,22,151,0,3,122,0,3,4,15,1,2,3,5,0,0,22,2,1,1,0,0
Geschlechterrolle,371,1,3,2,0,0,0,0,3,40,190,0,2,16,0,21,0,53,0,5,2,0,0,11,7,11,2,2,0,0
Informationsgesellschaft,371,0,8,9,0,0,0,0,10,7,107,4,46,41,1,4,20,42,0,1,46,1,0,5,14,5,0,0,0,0
Algorithmus,369,1,3,7,0,0,6,93,1,0,19,10,187,8,3,0,10,2,0,2,2,1,1,2,3,2,4,0,0,2
Internet der Dinge,365,11,7,9,2,0,2,14,0,0,1,20,228,24,2,0,2,7,4,17,2,1,0,0,0,0,0,0,0,12
Juden,362,0,3,1,0,0,1,2,1,196,60,0,0,1,2,36,2,7,0,2,3,1,1,3,4,35,0,1,0,0
Staat,362,0,1,1,0,0,0,0,12,54,136,0,1,25,0,59,41,7,2,1,3,0,0,1,16,2,0,0,0,0
Python Programmiersprache,361,0,0,5,0,1,17,61,7,0,3,9,243,9,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,0
Schüler,356,0,0,0,0,0,3,7,7,3,78,0,0,5,0,9,2,200,1,2,3,1,2,16,2,12,1,2,0,0
Wirtschaftstheorie,355,0,1,2,0,0,0,4,1,4,56,0,5,213,2,0,1,5,48,1,2,0,0,0,5,3,0,2,0,0
Drittes Reich,354,0,8,3,0,0,1,0,1,173,106,0,0,4,2,9,10,9,0,8,7,0,0,2,1,10,0,0,0,0
Cloud Computing,351,3,3,2,1,0,0,15,2,0,4,7,238,43,2,0,21,4,0,5,0,0,0,0,0,0,0,0,0,1
Massenmedien,348,0,7,4,2,0,0,0,3,23,124,0,7,11,0,11,8,29,0,3,83,0,0,12,4,16,0,1,0,0
Datenschutz,343,0,0,2,0,0,0,4,0,1,22,2,105,22,2,1,168,2,0,3,7,0,0,0,2,0,0,0,0,0
Quantenmechanik,343,0,0,6,0,1,266,48,1,0,0,1,4,0,0,0,0,3,0,0,1,0,7,0,0,0,5,0,0,0
Dynamisches System,342,0,1,20,2,0,46,219,1,0,3,9,15,3,0,0,0,0,1,2,5,2,1,0,2,0,10,0,0,0
Ökonometrie,341,0,0,0,0,0,0,130,0,0,1,0,40,169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Umweltpolitik,341,0,8,1,0,0,0,2,20,11,55,0,1,115,2,1,6,8,4,1,61,38,1,0,5,0,1,0,0,0
Wirtschaftsinformatik,341,0,0,1,0,0,0,53,0,0,2,1,140,135,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0
Deutschunterricht,341,0,0,0,0,0,0,4,0,1,10,0,1,0,0,0,0,127,0,0,1,0,0,118,0,79,0,0,0,0
Sprache,340,1,1,0,0,0,2,4,1,10,33,0,4,3,0,8,1,21,0,0,3,0,0,137,13,97,1,0,0,0
MATLAB,339,0,0,40,2,2,34,110,3,0,0,38,89,1,1,0,0,0,0,4,1,6,3,0,0,0,4,0,1,0
Menschenrecht,337,0,1,0,0,0,0,0,4,13,93,0,0,10,0,15,168,15,0,2,2,0,0,0,13,1,0,0,0,0
Naturwissenschaften,337,0,0,22,2,0,21,23,0,7,29,2,21,3,0,25,0,37,0,5,70,2,4,7,39,11,7,0,0,0
Ästhetik,336,2,43,2,0,1,0,1,2,8,22,2,3,2,0,9,0,31,0,1,52,1,0,30,65,57,2,0,0,0
Internationale Politik,336,0,1,2,1,0,1,0,3,64,206,0,2,18,0,7,17,0,0,0,1,5,0,0,8,0,0,0,0,0
Biotechnologie,333,1,1,3,1,2,1,6,2,1,6,1,4,11,0,1,5,0,28,15,1,125,32,1,6,0,75,0,0,4
Gewalt,333,0,0,7,0,0,0,0,3,52,145,0,6,1,0,29,17,39,0,3,3,0,0,4,12,7,0,5,0,0
Landwirtschaft,329,1,9,4,1,0,0,2,5,9,14,1,2,91,1,0,7,5,128,1,11,22,0,1,2,2,10,0,0,0
Kolonialismus,328,0,5,3,0,0,0,0,5,147,114,0,0,6,0,17,4,4,0,1,5,0,0,3,5,9,0,0,0,0
Verbraucherverhalten,327,0,0,2,3,0,0,2,0,7,55,1,4,198,2,0,5,20,4,0,4,11,0,0,5,0,0,4,0,0
Arbeitsmarkt,327,0,2,9,0,0,0,0,6,7,80,0,0,176,0,0,3,37,1,3,2,1,0,0,0,0,0,0,0,0
Bildung,326,0,0,5,0,0,0,0,2,13,84,0,9,16,0,13,5,150,0,2,3,2,0,7,10,4,0,1,0,0
Simulation,325,8,6,27,24,8,34,41,10,0,3,32,35,35,20,0,1,4,1,10,3,13,4,0,0,0,3,1,0,2
Qualitätsmanagement,323,3,3,15,17,2,0,11,0,1,10,0,28,125,4,0,6,50,3,23,3,6,1,0,0,0,1,1,0,10
Industrie 4.0,318,4,6,31,20,1,0,3,0,0,17,10,58,104,6,0,11,43,0,2,1,1,0,0,0,0,0,0,0,0
Produktentwicklung,318,1,1,82,8,1,0,6,0,0,4,4,27,124,9,0,0,19,7,1,4,19,0,0,0,0,0,0,0,1
Europäische Integration,317,0,0,0,0,0,0,2,7,57,179,0,0,20,3,4,35,5,0,0,1,0,0,1,2,1,0,0,0,0
Soziale Integration,316,2,7,3,0,0,0,0,20,24,162,0,0,12,0,26,8,38,0,2,2,1,0,1,0,3,0,5,0,0
Mathematische Physik,316,0,0,9,0,0,139,157,1,0,0,0,3,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0
Datensicherung,315,0,0,3,0,0,0,8,0,1,6,5,234,32,2,0,9,3,0,3,2,0,0,0,2,0,3,0,0,2
Design,315,9,84,9,6,9,3,2,5,3,17,8,23,9,11,1,3,25,2,2,71,4,0,0,4,1,1,1,0,2
Gefühl,314,0,2,2,0,0,0,0,1,13,60,0,7,16,0,4,2,142,0,10,7,0,0,13,19,14,1,1,0,0
Polymere,313,0,0,3,8,75,48,6,0,0,0,11,0,0,0,0,0,0,2,13,0,32,94,0,0,0,8,0,0,13
Familie,313,0,2,1,0,0,0,1,3,27,135,0,1,15,1,10,13,68,0,4,0,0,0,1,2,29,0,0,0,0
Bevölkerungsentwicklung,312,2,27,6,0,0,0,3,65,8,73,0,1,84,2,1,6,20,0,6,1,2,0,0,1,0,3,0,0,1
Auswirkung,310,2,4,6,1,0,1,0,16,86,88,0,4,36,2,5,7,18,3,12,4,6,1,0,5,1,0,1,1,0
Judenvernichtung,309,0,2,1,0,0,0,0,1,169,89,0,0,0,0,9,3,9,0,1,3,0,0,5,4,12,1,0,0,0
Lehrbuch,308,4,2,14,11,6,40,47,35,0,27,15,11,50,1,0,5,18,1,1,0,2,5,4,0,4,3,1,1,0
Wissenschaft,307,0,5,9,0,0,3,2,2,18,62,0,9,11,0,12,11,28,0,4,41,1,0,12,57,17,3,0,0,0
Moderne,307,1,36,2,0,0,0,0,4,29,57,0,0,2,0,28,2,13,0,2,9,0,0,18,40,64,0,0,0,0
Systemtheorie,303,0,2,4,2,0,3,29,2,0,103,16,5,36,0,2,4,44,0,3,17,0,0,4,17,4,4,2,0,0
Politisches System,300,0,2,2,0,0,0,0,6,102,161,0,0,4,0,0,18,0,0,0,0,0,0,1,2,2,0,0,0,0
Datenverarbeitung,298,4,1,6,1,0,5,65,8,2,3,4,106,57,1,1,7,3,0,5,4,3,4,0,0,0,5,0,2,1
Medien,298,0,7,6,0,0,0,0,7,22,65,0,16,12,0,13,5,44,0,3,42,0,0,17,17,18,0,4,0,0
Geschäftsmodell,297,0,1,15,0,0,0,5,0,0,12,4,19,142,12,0,12,64,1,2,6,1,0,0,0,0,0,0,0,1
Reform,295,0,0,2,0,0,0,0,3,14,96,0,0,60,2,12,57,14,0,28,5,0,0,0,2,0,0,0,0,0
Bildgebendes Verfahren,294,0,0,3,0,1,27,46,1,0,1,5,54,0,0,0,0,1,0,88,10,0,6,0,0,0,10,0,0,41
Rechtsvergleich,294,0,0,1,0,0,0,0,1,1,17,0,0,9,1,0,253,8,0,2,0,0,0,1,0,0,0,0,0,0
Informationsmanagement,294,2,0,3,0,0,0,3,0,1,10,2,126,116,0,0,0,14,0,2,13,0,0,0,2,0,0,0,0,0
Nanotechnologie,292,3,3,87,6,15,42,1,1,0,5,15,1,6,0,0,2,1,8,18,0,27,30,0,1,0,7,0,0,13
Armut,292,0,7,0,0,0,0,0,11,18,149,0,0,62,0,5,5,26,1,2,2,1,0,0,3,0,0,0,0,0
Online-Ressource,289,6,4,9,16,10,15,8,5,1,17,11,23,24,16,2,0,39,1,10,18,28,9,2,5,3,4,0,0,3
Nanopartikel,289,0,0,38,11,25,46,2,0,0,0,5,1,0,0,0,0,0,3,15,3,34,82,0,0,0,12,0,0,12
Kritik,288,0,1,1,2,0,8,2,8,19,86,0,10,44,1,20,3,27,4,9,6,6,0,1,23,4,2,1,0,0
Lehrer,287,0,0,0,0,0,1,5,2,5,41,0,1,4,0,2,2,199,0,8,1,0,1,8,0,7,0,0,0,0
Kraftfahrzeugindustrie,286,0,3,29,5,0,0,2,0,3,13,3,14,126,54,0,3,28,0,0,0,3,0,0,0,0,0,0,0,0
Psychoanalyse,286,0,3,1,0,0,0,0,0,11,54,0,1,1,0,5,1,161,0,11,9,0,0,4,7,16,1,0,0,0
Partielle Differentialgleichung,286,0,0,11,0,0,26,232,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
Nanostruktur,285,2,0,57,6,27,124,3,1,0,0,22,1,0,0,0,0,0,2,2,0,4,25,0,0,0,8,0,0,1
Supply Chain Management,285,1,1,27,5,5,0,4,0,0,7,0,22,180,7,0,5,11,2,1,3,4,0,0,0,0,0,0,0,0
Analysis,283,0,0,7,0,0,12,237,0,0,0,3,9,5,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0
Sozialpolitik,283,0,1,0,0,0,1,1,7,32,139,0,0,59,0,2,14,15,1,5,1,3,0,0,1,0,1,0,0,0
Technischer Fortschritt,283,4,15,39,5,0,1,0,10,12,46,2,21,82,4,1,7,12,1,1,9,4,0,1,5,1,0,0,0,0
Chemie,283,3,3,5,0,3,16,3,12,1,0,0,4,0,0,0,0,18,3,11,4,24,152,1,0,2,18,0,0,0
Bekämpfung,282,0,1,10,0,0,0,0,2,28,113,0,0,38,2,13,52,13,0,4,0,2,0,1,2,1,0,0,0,0
Spieltheorie,280,0,0,2,0,0,1,118,0,1,10,3,22,112,0,0,2,5,0,1,2,0,0,0,0,0,1,0,0,0
Geschlechterforschung,279,0,3,3,0,0,0,0,2,7,141,0,2,11,0,8,4,46,0,3,1,0,0,11,21,13,0,3,0,0
Bioinformatik,279,0,0,1,0,0,2,73,0,0,0,0,74,1,0,0,0,0,0,13,2,10,9,0,2,0,92,0,0,0
Visualisierung,278,2,11,8,0,1,5,29,19,6,11,3,120,10,0,0,1,22,1,1,17,1,0,2,6,2,0,0,0,0
Technik,277,1,2,102,12,0,11,14,2,10,23,5,8,13,3,5,4,20,3,2,11,5,0,4,11,2,1,3,0,0
Bautechnik,275,141,98,2,0,0,4,1,2,1,0,0,6,2,2,1,0,10,0,0,1,1,0,2,0,0,1,0,0,0
Neuronales Netz,274,6,0,11,3,0,4,31,11,0,1,5,164,11,3,0,1,3,0,6,0,1,0,2,2,2,4,0,1,2
Soziales Netzwerk,273,0,2,3,0,0,0,3,9,13,87,1,38,51,0,6,6,36,0,3,9,1,0,1,0,2,2,0,0,0
Theologie,273,0,2,0,0,0,2,0,0,21,11,0,1,3,0,167,2,5,0,0,1,0,0,6,41,10,1,0,0,0
Rechtsradikalismus,273,0,0,1,0,0,0,0,2,43,178,1,0,0,0,4,9,27,0,0,0,0,0,1,1,2,0,4,0,0
Feminismus,272,0,6,2,0,0,0,0,4,20,159,0,1,12,0,7,5,9,0,2,6,0,0,8,14,15,0,2,0,0
Regulierung,271,0,3,1,0,0,0,2,2,5,39,2,5,104,3,0,91,2,0,4,4,2,0,0,2,0,0,0,0,0
Logistik,271,4,4,16,7,2,0,5,2,0,7,2,10,166,25,0,1,9,0,5,3,3,0,0,0,0,0,0,0,0
Interaktion,270,0,4,2,0,0,5,3,4,2,90,3,19,26,0,1,1,70,0,2,6,0,0,17,5,8,1,1,0,0
Krise,268,0,2,0,0,0,0,0,3,30,109,0,0,23,2,12,11,32,0,11,15,0,0,2,12,3,0,1,0,0
Fundamentalismus,268,0,2,0,0,0,0,0,3,47,97,0,0,0,0,112,1,3,0,0,1,0,0,0,1,1,0,0,0,0
Öffentlicher Raum,268,6,110,0,0,0,0,0,38,11,69,1,3,3,4,0,8,5,0,0,6,0,0,2,0,2,0,0,0,0
Markenpolitik,267,0,3,3,0,0,0,0,0,0,12,0,4,227,5,0,2,6,0,1,0,0,0,0,0,0,0,4,0,0
